# Captured from a saved game; snow-clearing selection area was not copied.
ROOM id=room_defense_active_turrets purpose=active turret defense priority=2
FOOTPRINT 14x14 anchor=95,90
KNOWN_DEFS Sandbags,FirefoamPopper,Turret_Sniper,Turret_RocketswarmLauncher,Turret_MiniTurret
RULE Use only when needed. The complete layout may rotate by 90/180/270 degrees; do not add items outside this file.
BUILD Sandbags 1 13 0 Cloth
BUILD Sandbags 2 13 0 Cloth
BUILD Sandbags 3 13 0 Cloth
BUILD Sandbags 4 13 0 Cloth
BUILD Sandbags 5 13 0 Cloth
BUILD Sandbags 6 13 0 Cloth
BUILD Sandbags 7 13 0 Cloth
BUILD Sandbags 8 13 0 Cloth
BUILD Sandbags 9 13 0 Cloth
BUILD Sandbags 10 13 0 Cloth
BUILD Sandbags 11 13 0 Cloth
BUILD Sandbags 12 13 0 Cloth
BUILD Sandbags 13 13 0 Cloth
BUILD Sandbags 13 1 0 Cloth
BUILD Sandbags 13 2 0 Cloth
BUILD Sandbags 13 3 0 Cloth
BUILD Sandbags 13 4 0 Cloth
BUILD Sandbags 13 5 0 Cloth
BUILD Sandbags 13 8 0 Cloth
BUILD Sandbags 13 9 0 Cloth
BUILD Sandbags 13 10 0 Cloth
BUILD Sandbags 13 11 0 Cloth
BUILD Sandbags 13 12 0 Cloth
BUILD Sandbags 0 1 0 Cloth
BUILD Sandbags 0 2 0 Cloth
BUILD Sandbags 0 3 0 Cloth
BUILD Sandbags 0 4 0 Cloth
BUILD Sandbags 0 5 0 Cloth
BUILD Sandbags 0 6 0 Cloth
BUILD Sandbags 0 7 0 Cloth
BUILD Sandbags 0 8 0 Cloth
BUILD Sandbags 0 9 0 Cloth
BUILD Sandbags 0 10 0 Cloth
BUILD Sandbags 0 11 0 Cloth
BUILD Sandbags 0 12 0 Cloth
BUILD Sandbags 0 13 0 Cloth
BUILD Sandbags 0 0 0 Cloth
BUILD Sandbags 1 0 0 Cloth
BUILD Sandbags 2 0 0 Cloth
BUILD Sandbags 3 0 0 Cloth
BUILD Sandbags 4 0 0 Cloth
BUILD Sandbags 5 0 0 Cloth
BUILD Sandbags 6 0 0 Cloth
BUILD Sandbags 7 0 0 Cloth
BUILD Sandbags 8 0 0 Cloth
BUILD Sandbags 9 0 0 Cloth
BUILD Sandbags 10 0 0 Cloth
BUILD Sandbags 11 0 0 Cloth
BUILD Sandbags 12 0 0 Cloth
BUILD Sandbags 13 0 0 Cloth
BUILD Sandbags 3 10 0 Cloth
BUILD Sandbags 3 11 0 Cloth
BUILD Sandbags 3 12 0 Cloth
BUILD Sandbags 1 10 0 Cloth
BUILD Sandbags 2 10 0 Cloth
BUILD Sandbags 2 8 0 Cloth
BUILD Sandbags 3 7 0 Cloth
BUILD Sandbags 2 5 0 Cloth
BUILD Sandbags 1 3 0 Cloth
BUILD Sandbags 2 3 0 Cloth
BUILD Sandbags 3 3 0 Cloth
BUILD Sandbags 3 1 0 Cloth
BUILD Sandbags 3 2 0 Cloth
BUILD Sandbags 10 1 0 Cloth
BUILD Sandbags 10 2 0 Cloth
BUILD Sandbags 10 3 0 Cloth
BUILD Sandbags 11 3 0 Cloth
BUILD Sandbags 12 3 0 Cloth
BUILD Sandbags 11 5 0 Cloth
